filename,description
000001.jpg,【人物属性】   身体的な手がかり：男性で、見た目年齢は40代後半から50代前半と推測される。顔は丸みを帯びており、額が広く、髪は薄く後退している。体型は中肉中背で、肩幅が広く、スリムなシルエットを保っている。   外見的な手がかり：黒地に細い白縞のストライプが入ったダブルブレストのスーツを着用。白いシャツに黒地に白いドット模様のネクタイを合わせ、左胸ポケットには白いハンカチを差している。眼鏡をかけており、フレームは黒縁のスクエア型。   行動的な手がかり：正面を向いて立っており、右手を自然に下に垂らし、左手はポケットに入れている。表情は穏やかで、やや微笑みを含んだまっすぐな視線をカメラに向けており、落ち着いた印象を与える。    【背景】   屋外の緑豊かな公園または庭園と思われる場所で、背景には木々や低木が生い茂っている。日中の明るい光が差し込んでおり、時間帯は昼間と推測される。周囲には他の人物は見えず、混雑度は低い。周囲の物体には、背景にぼんやりと見える木々や低木、遠くに建物の一部が確認できる。
000002.jpg,【人物属性】   身体的な手がかり：女性で、見た目年齢は30代後半から40代前半。顔は整っており、目元が印象的で、鼻筋が高く、顎線がはっきりしている。体型はスリムで、肩幅がやや広く、脚が長め。   外見的な手がかり：グレーのセーターにチェック柄のスカートを着用し、毛皮のコートを羽織っている。黒いロングブーツと黒い手袋を身につけ、青い光沢のあるクラッチバッグを持ち、首元に装飾的な毛皮のフードが特徴的。   行動的な手がかり：歩き方は堂々としており、カメラに向かって前を向いて歩いており、手にバッグを持ちながら自然なポーズを取っている。表情は穏やかで、やや微笑みを含んでおり、自信に満ちた様子。    【背景】   時間帯は昼間で、太陽光が強く、影がはっきりしている。地域は都市部の街並みで、建物や道路、歩道が確認できる。屋外の環境で、周囲には複数の通行人がおり、やや混雑している。周囲の物体には白い車、消火栓、木々、建物の壁、歩道のタイルなどが見える。
000003.jpg,【人物属性】   身体的な手がかり：男性で、見た目年齢は40代後半から50代前半。顔には薄いシワがあり、短めのグレーがかった髪と軽いヒゲが特徴。体型は中肉中背で、健康的な印象。   外見的な手がかり：ベージュのロングコートにベージュのパンツを着用。首元には青いスカーフを巻き、手には黒と黄色の自転車ヘルメットを持ち、足元は茶色のブーツ。   行動的な手がかり：自転車を左手で持ち、右手でヘルメットを握り、カメラに向かって穏やかな笑みを浮かべている。立った姿勢で、リラックスした雰囲気。    【背景】   時間帯は昼間で、日差しが木々の間から差し込む。地域は公園や林道のような自然豊かな場所。屋外で、周囲は落ち葉が散らばり、木々が並ぶ。混雑度は低く、人物以外の人がいない。周囲の物体には自転車、木々、落ち葉、遠くにフェンスが見える。
000004.jpg,【人物属性】   身体的な手がかり：女性で、見た目年齢は20代後半から30代前半と推測される。顔はやや長めの顔立ちで、金髪のロングヘアが肩にかかる。体型はスリムで、身長は中程度以上と見られる。   外見的な手がかり：黒いストライプ入りのスーツを着用し、白いシャツにネクタイを合わせている。眼鏡をかけており、黒いハンドバッグを左肩にかけている。靴は黒いハイヒール。   行動的な手がかり：歩行中で、右手をやや前に出し、指を軽く曲げたジェスチャーをしている。表情はやや真剣で、視線は前方を向いている。    【背景】   時間帯は曇りの日中と推測され、地域は都市部の街並みである。屋外で、周囲はやや混雑しており、黄色いタクシー、赤いトラック、白い車が停車または走行中。道路には白線があり、オレンジ色の交通コーンも見える。
000005.jpg,【人物属性】   身体的な手がかり：女性で、見た目年齢は20代後半から30代前半。短めのボブカットの髪型で、顔はやや細長く、目が大きく印象的。体型はスリムで、肩幅がやや広め。   外見的な手がかり：白いタンクトップにデニムの破れ加工パンツを着用。黒いベルトでウエストを締め、肩にはグレーのリュックサックを背負っている。足元はスニーカー。首には細いネックレスを着用。   行動的な手がかり：立った姿勢で、両手で小さな箱を持ち、やや下を向いて視線を落としている。表情は穏やかで、やや内向的な雰囲気。    【背景】   時間帯は昼間で、日差しが明るく、影が短い。地域は都市の住宅街または商店街で、建物の外壁に看板が見える。屋外の歩道上に立っており、周囲は比較的静かで混雑は少ない。周囲の物体には木々、黒い鉄製のフェンス、道路、遠くに車が停まっている。
000006.jpg,【人物属性】   身体的な手がかり：男性で、見た目年齢は40代後半から50代前半。顔には短いヒゲと薄い口ひげがあり、黒髪に白髪が混じる。体型は中肉中背で、肩幅が広く、スリムなシルエット。   外見的な手がかり：黒いロングコートにピンクのVネックセーター、チェック柄の赤いスカーフを首に巻き、黒いパンツと光沢のある青い革靴を履く。手にはベージュの紙袋を持ち、左手首にはブレスレットを装着。   行動的な手がかり：正面を向いて立っており、右手をポケットに入れ、左手でバッグを持ち、やや真剣な表情でカメラを見つめている。足はやや開き、安定した姿勢。    【背景】   時間帯は曇りの日中で、光が柔らかく、影が薄い。地域はヨーロッパ風の街並みで、石畳とトラムレールが見える。屋外の歩道上に立っており、周囲には数台の車と建物が並ぶ。混雑度は低く、人影はほとんどない。周囲の物体には、木々の落ち葉、街灯、背景の建物の窓や看板、道路脇のフェンスがある。
000007.jpg,【人物属性】   身体的な手がかり：男性で、見た目年齢は30代後半から40代前半。顔は整っており、短めの黒髪、顎に薄い髭が生えている。体型は中肉中背で、肩幅が広く、筋肉質の印象。   外見的な手がかり：グレーのダブルブレストコートを着用し、内側にダークカラーのシャツとネクタイが見える。手には黒と白のファイルを抱えており、ビジネスライクな装い。   行動的な手がかり：歩行中で、やや前傾姿勢。右手でファイルを抱え、左手はコートのポケットに手を差し込んでおり、表情は真剣で視線は前方を向いている。    【背景】   時間帯は昼間で、曇り空の下、都市の街角。地域は高層ビルが立ち並ぶ都市部、おそらくニューヨークの通り。屋外で、周囲には他の通行人が複数おり、やや混雑している。周囲の物体には街路標識（「BROADWAY」の文字が見える）、信号機、歩道、木々の枝が確認できる。
000008.jpg,【人物属性】   身体的な手がかり：女性で、見た目年齢は20代後半から30代前半と推測される。顔は整っており、黒髪のショートヘアで、やや丸みのある顔立ち。体型はスリムで、肩幅がやや広め。   外見的な手がかり：黒いロングドレスに赤いセーターを羽織り、カラフルな編み込みのマフラーを肩にかけている。首元には装飾的なネックレス、手には黒いトートバッグを持ち、足元はベージュのハイヒールブーツ。   行動的な手がかり：カメラに向かって微笑み、右手を軽く顎の近くに添えているジェスチャー。歩き方は落ち着いており、ポーズを取っているように見える。    【背景】   時間帯は昼間で、日差しが強く、影がはっきりしている。地域はヨーロッパ風の街並みで、石畳の歩道と建物が特徴的。屋外で、周囲の混雑度は低く、背景には数台のスクーターが駐車されている。建物には「DONA」という看板があり、窓やバルコニーが見られる。
000009.jpg,【人物属性】   身体的な手がかり：女性で、見た目年齢は20代後半から30代前半と推測される。顔はやや長めの顔立ちで、目元が印象的で、赤みがかったリップメイクが施されている。体型はスリムで、肩幅がやや広め。   外見的な手がかり：赤いボタンダウンシャツに、女性のイラストがプリントされた黒いスカートを着用。ダークグリーンのファーフード付きコートを羽織り、黒いレース風タイツと茶色のブーツを履いている。頭には黒いハット、肩にはチェーン付きのバッグをかけている。   行動的な手がかり：まっすぐ前を向いて歩いている様子で、足取りは落ち着いており、やや前傾姿勢。表情は真剣で、視線はやや下向き。手は自然に下に垂れており、特にジェスチャーは見られない。    【背景】   屋外のコンクリート敷地で、背景には垂直に並んだ金属製の壁面が見える。時間帯は曇り空の日中と推測され、周囲は人影が少なく静かな雰囲気。周囲の物体は壁面と地面のみで、特に目立つ装飾や建物は確認できない。
000010.jpg,【人物属性】   身体的な手がかり：男性で、見た目年齢は30代後半から40代前半。顔には短いヒゲがあり、目元はややくぼみ、額にしわが見られる。体型は中肉中背で、肩幅が広く、筋肉質の印象。   外見的な手がかり：グレーのジャケットに白シャツ、黒ネクタイを着用。左胸には赤いボタン、ポケットには青と白の柄のハンカチ。デニムパンツにストライプのソックス、茶色のブーツ。手には黒いバッグとスマートフォンを保持。   行動的な手がかり：石造りの壁に腰掛けており、片足を組んでリラックスした姿勢。右手でスマートフォンを持ち、左手でバッグを支えている。表情は穏やかで、やや微笑みを含んだ視線をカメラに向けており、自信に満ちた雰囲気。    【背景】   屋外の都市環境で、背景には複数の人物がぼんやりと立っており、混雑度は中程度。建物の構造やガラスの屋根が見えるため、屋外の公共空間またはイベント会場の可能性。時間帯は昼間で、自然光が強く、曇り空の下。周囲の物体には石造りの壁、金属製の手すり、背景の建物や構造物が確認できる。
