filename,description
000001.jpg,【人物属性】 身体的な手がかり：中高年の男性で、額が広く後退した髪型をしています。丸みを帯びた顔立ちで、標準的な体型をしています。 外見的な手がかり：黒または濃紺のピンストライプのスーツに、白と青のストライプシャツ、ドット柄のネクタイを着用しています。黒縁の眼鏡をかけ、胸ポケットには白いポケットチーフを挿しています。 行動的な手がかり：正面を向き、口角をわずかに上げた穏やかな表情で微笑んでいます。左手をズボンのポケットに入れ、落ち着いた様子で立っています。 【背景】 周囲の環境について：屋外の公園のような場所で、背景には高く伸びた木々が並んでいます。地面は緑の低い植物や草に覆われており、木漏れ日が差し込む明るい自然環境の中にいます。
000002.jpg,【人物属性】 身体的な手がかり：成人女性で、整った顔立ちに黒い髪を後ろでまとめています。スレンダーな体型をしています。 外見的な手がかり：グレーのトップスにグレーと黒のファーコートを羽織り、チェック柄のミニスカートと黒いタイツ、膝上のロングブーツを着用しています。手には鮮やかな青色の大きなクラッチバッグを持っています。 行動的な手がかり：穏やかな表情を浮かべ、正面を向きながらゆっくりと歩いています。  【背景】 周囲の環境について：晴天の下、都市部の歩道を歩いています。背後には白い車や、冬服を着て集まっている人々、レンガ造りの建物や近代的なビルが見え、屋外のイベントや街歩きの様子が伺えます。
000003.jpg,【人物属性】 身体的な手がかり：白髪混じりの髪をした中年男性で、整った顔立ちに引き締まった体型をしています。 外見的な手がかり：ベージュのジャケットに同色のパンツを合わせ、首元には水色のストールを巻いています。足元は茶色の靴を履き、手には黄色いヘルメットを持っています。 行動的な手がかり：自転車のハンドルに手を添えて立ち、穏やかな微笑みを浮かべて正面を見つめています。  【背景】 周囲の環境について：秋から冬にかけての屋外で、地面には枯れ葉が散らばっています。背後には大きな木々が立ち並び、柔らかな日光が差し込む静かな道のような場所です。
000004.jpg,【人物属性】 身体的な手がかり：長い金髪の若い女性で、スリムな体型をしています。眼鏡をかけており、知的な印象の顔立ちです。 外見的な手がかり：グレーのパンツスーツに白いシャツと黒いネクタイを合わせたフォーマルな装いです。手には黒いハンドバッグを持っています。 行動的な手がかり：街中で立ち止まり、左手を軽く上げたジェスチャーをしながら、穏やかな表情で前方を見つめています。 【背景】 周囲の環境について：都市部の路上で、背後には黄色いタクシーや赤いトラックなどの車両が停車しています。路面は濡れており、雨上がりか雨天時の街中の風景です。
000005.jpg,【人物属性】 身体的な手がかり：短髪の若い女性で、整った顔立ちとスリムな体型をしています。 外見的な手がかり：白いタンクトップに、ダメージ加工が施されたゆったりとしたライトブルーのデニムパンツを合わせ、茶色のベルトを締めています。足元はグレーのスニーカーを履き、肩にはバックパックを背負い、首元には細いネックレスを身に着けています。 行動的な手がかり：正面を向いて立ち、両手で飲み物のカップを大切そうに持っています。口元にわずかな微笑みを浮かべた、穏やかな表情でカメラを見つめています。  【背景】 周囲の環境について：街路樹の緑が茂る都市部の歩道に立っています。背後には道路と駐車している車が見え、右側には黒い鉄製のフェンスと、看板が掲げられた赤い壁の建物が並ぶ街並みが広がっています。
000006.jpg,【人物属性】 身体的な手がかり：中年の男性で、痩せ型です。整えられた短い黒髪に、口髭と顎髭を蓄えた精悍な顔立ちをしています。 外見的な手がかり：黒いロングジャケットとパンツのセットアップに、鮮やかなピンクのシャツと青い蝶ネクタイを合わせています。赤系のチェック柄のマフラーを巻き、足元には光沢のある青いドレスシューズを履き、ベージュの紙袋を手に持っています。 行動的な手がかり：カメラに向かって真っ直ぐに立ち、口を閉じて穏やかな表情で正面を見つめています。左手はポケットに入れ、リラックスした様子でポーズをとっています。  【背景】 周囲の環境について：ヨーロッパ風の街並みの屋外で、路面電車のレールが敷かれた道の上に立っています。背景には街路樹や多層階のビルが並び、道路には車が停車しており、地面には枯れ葉が散らばっています。
000007.jpg,【人物属性】 身体的な手がかり：中年男性で、整えられた黒髪に彫りの深い顔立ちをしています。体型は標準的で、がっしりとした印象です。 外見的な手がかり：グレーの厚手のダブルブレストコートを着用し、中にはシャツとネクタイを合わせています。左手には白い書類のようなものを抱えています。 行動的な手がかり：正面を向いて静かに佇んでおり、口を閉じた落ち着いた表情をしています。右手はコートのボタン付近に添えられています。 【背景】 周囲の環境について：都市部の屋外の歩道で、背景には「DOMINICK ST」と書かれた緑色の道路標識や街灯が見えます。周囲には他の通行人がおり、冬のような寒冷な気候であることが伺えます。
000008.jpg,【人物属性】 身体的な手がかり：若い女性で、黒いストレートのショートヘアに、穏やかな表情を浮かべた整った顔立ちをしています。体型は標準的で、バランスの良いシルエットです。 外見的な手がかり：黒いトップスとゆったりとした黒いパンツに、赤を基調としたカラフルな厚手のカーディガンを羽織っています。足元はベージュのブーツを履き、手には黒いナイロン製のバッグを持っています。 行動的な手がかり：カメラに向かってにこやかに微笑みながら、片手を軽く首元に添えて、リラックスした様子で直立しています。  【背景】 周囲の環境について：ヨーロッパ風の建物が立ち並ぶ都市部の街路です。背後にはバルコニーのある集合住宅が見え、道路脇には数台のスクーターが駐車されており、日常的な街の風景が広がっています。
000009.jpg,【人物属性】 身体的な手がかり：若い女性で、整った顔立ちに赤いリップが印象的です。黒いウェーブがかった短めの髪をしており、スレンダーな体型をしています。 外見的な手がかり：黒いハットを被り、赤いボタンダウンシャツに、絵画のようなプリントが施された黒いスカートを合わせています。上にはグレーのファーコートを羽織り、黒いタイツと茶色の厚底ブーツを履き、肩からチェーンストラップのバッグを掛けています。 行動的な手がかり：正面を向き、静かに佇んでいます。口を閉じ、落ち着いた表情でカメラを見つめています。  【背景】 周囲の環境について：屋外の歩道に立っています。背後にはグレーの垂直なラインが入った金属製のような壁が続いており、シンプルで都会的な無機質な雰囲気の場所です。
000010.jpg,【人物属性】 身体的な手がかり：成人男性で、年齢は30代から40代と推測されます。短めの茶色の巻き毛に整えられた髭があり、がっしりとした体型をしています。 外見的な手がかり：グレーのジャケットに青いシャツと紺色のネクタイを合わせ、デニムパンツに茶色のレザーシューズを履いています。胸ポケットには白いポケットチーフを挿し、赤いピンバッジを付けています。左手には黒い帽子を持っています。 行動的な手がかり：右手にスマートフォンを持ち、足を組んで腰掛けています。視線をカメラに向け、穏やかで自信ありげな表情を浮かべています。  【背景】 周囲の環境について：屋外の公共スペースのような場所で、足元は石造りの低い壁に座っています。背景にはぼやけていますが、他の人々が集まっており、イベント会場や街中の広場のような賑わいのある状況です。
